TEAM_ID,ABBREVIATION,NICKNAME,YEARFOUNDED,CITY,ARENA,ARENACAPACITY,OWNER,GENERALMANAGER,HEADCOACH,DLEAGUEAFFILIATION
1610612737,ATL,Hawks,1949,Atlanta,State Farm Arena,18729,Tony Ressler,Travis Schlenk,Quin Snyder,College Park Skyhawks
1610612738,BOS,Celtics,1946,Boston,TD Garden,18624,Bill Chisholm,Brad Stevens,Joe Mazzulla,Maine Celtics
1610612751,BKN,Nets,1976,Brooklyn,Barclays Center,,Joe Tsai,Sean Marks,Jordi Fernandez,Long Island Nets
1610612766,CHA,Hornets,1988,Charlotte,Spectrum Center,19026,Rick Schnall,Mitch Kupchak,Charles Lee,Greensboro Swarm
1610612741,CHI,Bulls,1966,Chicago,United Center,21711,Michael Reinsdorf,Arturas Karnisovas,Billy Donovan,Windy City Bulls
1610612739,CLE,Cavaliers,1970,Cleveland,Rocket Arena,20562,Dan Gilbert,Koby Altman,Kenny Atkinson,Cleveland Charge
1610612742,DAL,Mavericks,1980,Dallas,American Airlines Center,19200,Patrick Dumont,Nico Harrison,Jason Kidd,Texas Legends
1610612743,DEN,Nuggets,1976,Denver,Ball Arena,,Stan Kroenke,,David Adelman,Grand Rapids Gold
1610612765,DET,Pistons,1948,Detroit,Little Caesars Arena,,Tom Gores,Ed Stefanski,J. B. Bickerstaff,Motor City Cruise
1610612744,GSW,Warriors,1946,Golden State,Chase Center,,Joe Lacob,Mike Dunleavy Jr.,Steve Kerr,Santa Cruz Warriors
1610612745,HOU,Rockets,1967,Houston,Toyota Center,18104,Tilman Fertitta,Rafael Stone,Ime Udoka,Rio Grande Valley Vipers
1610612754,IND,Pacers,1976,Indiana,Gainbridge Fieldhouse ,18345,Herb Simon,Kevin Pritchard,Rick Carlisle,Noblesville Boom
1610612746,LAC,Clippers,1970,Los Angeles,Intuit Dome,19060,Steve Ballmer,Michael Winger,Tyronn Lue,Agua Caliente Clippers of Ontario
1610612747,LAL,Lakers,1948,Los Angeles,Crypto.com Arena,19060,Jeanie Buss,Rob Pelinka,JJ Redick,South Bay Lakers
1610612763,MEM,Grizzlies,1995,Memphis,FedExForum,18119,Robert Pera,Zach Kleiman,Tuomas Iisalo,Memphis Hustle
1610612748,MIA,Heat,1988,Miami,Kaseya Center,19600,Micky Arison,Pat Riley,Erik Spoelstra,Sioux Falls Skyforce
1610612749,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500,Wesley Edens,Jon Horst,Doc Rivers,Wisconsin Herd
1610612750,MIN,Timberwolves,1989,Minnesota,Target Center,19356,Marc Lore & Alex Rodriguez,Tim Connelly,Chris Finch,Iowa Wolves
1610612740,NOP,Pelicans,2002,New Orleans,Smoothie King Center,,Gayle Benson,Troy Weaver,Willie Green,Birmingham Squadron
1610612752,NYK,Knicks,1946,New York,Madison Square Garden,19763,Jim Dolan,Leon Rose,Mike Brown,Westchester Knicks
1610612760,OKC,Thunder,1967,Oklahoma City,Paycom Center,,Clay Bennett,Sam Presti,Mark Daigneault,Oklahoma City Blue
1610612753,ORL,Magic,1989,Orlando,Kia Center,0,Dan DeVos,John Hammond,Jamahl Mosley,Osceola Magic
1610612755,PHI,76ers,1949,Philadelphia,Xfinity Mobile Arena,,Joshua Harris & David Blitzer,Elton Brand,Nick Nurse,Delaware Blue Coats
1610612756,PHX,Suns,1968,Phoenix,PHX Arena,,Mat Ishbia,Brian Gregory,Jordan Ott,Valley Suns
1610612757,POR,Trail Blazers,1970,Portland,Moda Center,19980,Jody Allen,Joe Cronin,Chauncey Billups,Rip City Remix
1610612758,SAC,Kings,1948,Sacramento,Golden 1 Center,17500,Vivek Ranadive,Monte McNair,Doug Christie,Stockton Kings
1610612759,SAS,Spurs,1976,San Antonio,Frost Bank Center,18694,Peter Holt,Brian Wright,Mitch Johnson,Austin Spurs
1610612761,TOR,Raptors,1995,Toronto,Scotiabank Arena,,Lawrence Tanenbaum,,Darko Rajakovic,Raptors 905
1610612762,UTA,Jazz,1974,Utah,Delta Center,,Ryan Smith,Justin Zanik,Will Hardy,Salt Lake City Stars
1610612764,WAS,Wizards,1961,Washington,Capital One Arena,20647,Ted Leonsis,Will Dawkins,Brian Keefe,Capital City Go-Go
